run,rewards,policy
0,90.62778805114968,"{'1': [0.2, 0.3], '2': [0.2, 0.9], '3': [0.9, 0.9], '4': [0.3, 0.4], '5': [0.7, 0.0]}"
1,248.18299789676752,"{'1': [0.3, 0.5], '2': [0.9, 0.3], '3': [0.3, 0.2], '4': [0.1, 0.7], '5': [0.8, 0.1]}"
2,207.77510977644175,"{'1': [0.7, 0.8], '2': [0.0, 0.3], '3': [0.6, 0.1], '4': [0.8, 0.0], '5': [0.1, 0.8]}"
3,248.3635134378031,"{'1': [0.1, 0.7], '2': [0.7, 0.6], '3': [0.3, 0.2], '4': [0.9, 0.2], '5': [0.9, 0.9]}"
4,176.57216020168107,"{'1': [0.9, 0.0], '2': [0.1, 0.9], '3': [0.5, 0.4], '4': [0.3, 0.0], '5': [0.8, 0.4]}"
5,219.27349602024591,"{'1': [0.8, 0.1], '2': [0.4, 0.8], '3': [0.1, 0.7], '4': [0.8, 0.7], '5': [0.0, 0.7]}"
6,222.7790628675728,"{'1': [0.0, 0.2], '2': [0.5, 0.9], '3': [0.0, 0.9], '4': [0.8, 0.1], '5': [0.3, 0.9]}"
7,290.5437233137218,"{'1': [0.9, 0.0], '2': [0.1, 0.8], '3': [0.7, 0.1], '4': [0.5, 0.9], '5': [0.1, 0.9]}"
8,141.97201987291484,"{'1': [0.7, 0.2], '2': [0.2, 0.6], '3': [0.2, 0.0], '4': [0.2, 0.6], '5': [0.7, 0.3]}"
9,218.8850951030002,"{'1': [0.1, 0.8], '2': [0.1, 0.6], '3': [0.9, 0.2], '4': [0.0, 0.2], '5': [0.6, 0.3]}"
